source,chunk_count
Echocardiogram.txt,26
Pacemaker.txt,21
Cholesterol.txt,16
Stress test.txt,16
Cardiac ablation.txt,15
Arrhythmia.txt,14
Electrocardiogram.txt,14
Stroke.txt,14
heart_anatomy_and_function.txt,13
heart_disease_risk_factors.txt,12
Cardiomyopathy.txt,11
Blood pressure measurement.txt,10
Congenital heart disease.txt,10
Coronary Artery Disease.txt,10
Heart_Disease.txt,10
Holter Monitor.txt,9
Angioplasty and stent.txt,8
Atherosclerosis.txt,8
Blood_Flow.txt,8
heart_failure.txt,8
prevention.txt,8
circulation.txt,7
treatment_for_heart_disease.txt,7
Angiography.txt,6
Cardiac rehabilitation.txt,6
Heart Valve Disease.txt,6
hypertension.txt,5
Peripheral artery disease.txt,3
warning_signs_of_heart_attack.txt,2
