topic,count
Cardiomyopathy,12
Stroke,12
Heart Valve Disease,8
Cholesterol,8
Heart Anatomy and Function,7
Heart Failure,7
Angioplasty and Stent,6
Blood Pressure Measurement,6
Cardiac Ablation,6
Cardiac Rehabilitation,6
Pacemaker,6
Angiography,6
Arrhythmia,6
Heart Disease Risk Factors,6
Hypertension,6
Prevention,6
Holter Monitor,5
Peripheral Artery Disease,5
Atherosclerosis,5
Coronary Artery Disease,5
Heart Disease,5
Treatment for Heart Disease,5
Warning Signs of Heart Attack,5
Blood Flow,4
Electrocardiogram,4
Circulation,3
